lat,lon,cluster_id
-1.938004810418877,30.073109208514076,1
-1.9451318467930776,30.072345522973126,0
-1.9381341623839923,30.07564219611797,0
-1.9268314595505118,30.05988976380029,0
-1.9615012135812877,30.06360686272299,2
-1.9582391574630917,30.066639219787408,0
-1.9469052907693905,30.0531520041713,1
-1.9518935474483785,30.04666791133671,1
-1.9415720670163694,30.049871160812806,1
-1.9500391349883972,30.0488745033505,0
-1.9363299375321439,30.070589515672452,1
-1.9388611737621282,30.059215622499366,0
-1.9614705571744402,30.062410902396216,2
-1.9304991246490086,30.055083932749476,1
-1.9408321619681903,30.07486380924584,1
-1.9550996054967817,30.060417853591613,0
-1.943417411552387,30.054309354132617,0
-1.9504158493049717,30.05510198536231,1
-1.941395539055258,30.06917076046539,0
-1.9496320644851346,30.053203928421524,1
-1.9407112363814771,30.078393138368817,1
-1.9417204771651853,30.069783225838894,0
-1.936690748212069,30.0529577421218,1
-1.9305329732161272,30.05858447511614,1
-1.9288376243418457,30.06814179715907,1
-1.9399392306007448,30.07448618717449,0
-1.9358349559904442,30.06000003869173,1
-1.9607655021360297,30.05968183479644,1
-1.9557623107279478,30.05746646447164,0
-1.9387263219527862,30.07182654201967,0
-1.9429684877612985,30.04488054567646,0
-1.9396613822190008,30.075123857221165,1
-1.950179429590661,30.055049059420238,1
-1.931556392754788,30.055100567138492,1
-1.9469282352327228,30.04792537131921,1
-1.9558561641255046,30.048991513784628,1
-1.939611484359604,30.04934834701867,0
-1.9613761194865587,30.05907360541806,1
-1.949026177957111,30.054614346268902,1
-1.9500343449992517,30.077674861399426,0
-1.9540261911175585,30.04840816418853,1
-1.9304670026160105,30.05148119550977,2
-1.9513092916917867,30.07343966706951,0
-1.9355170124886587,30.05828999946909,0
-1.9269419904400331,30.061473543471898,1
-1.9406158962888904,30.06508222404449,1
-1.9583868268151015,30.055043787755853,1
-1.9374256781877859,30.05113183975784,0
-1.937197315114563,30.068542476293864,0
-1.9411269952836927,30.07597475571258,1
-1.9563941216159701,30.05767164982974,0
-1.9506240753812243,30.068557320579735,0
-1.9506027445472887,30.05385830153691,1
-1.9404944827284092,30.05214193686935,1
-1.943584471766902,30.06932009686265,1
-1.9548016152579468,30.05089618611251,1
-1.9434863831185245,30.056357558858352,0
-1.9405227836019596,30.05782101425867,1
-1.947356548159051,30.058838752610665,1
-1.9465124461804308,30.07952647217564,0
-1.9361053503085508,30.056898114839296,1
-1.950839195918571,30.057035737458435,0
-1.9496883347787686,30.054171622979876,1
-1.95457876780641,30.049159663261204,1
-1.9532992171566348,30.052240129550114,1
-1.9518682010569703,30.057142530391104,0
-1.9527696279637896,30.056897692318653,2
-1.9546490052552183,30.047926324865664,1
-1.9446414608568405,30.048738095885394,1
-1.9378174575135882,30.052962387691267,1
-1.953092016711971,30.05349134472063,1
-1.9615290781774992,30.059683554545064,1
-1.9332289704226702,30.063693883834784,1
