building_id,lat,lon,slope,cluster_id
KGL-00033,-1.9540269717571659,30.052680578731053,10.46287727355957,1
KGL-00034,-1.948348810515763,30.052615236967924,14.872004508972168,1
KGL-00035,-1.9362554738258642,30.053878923376864,8.731234550476074,1
KGL-00036,-1.9565307789733595,30.062976360933703,3.3409249782562256,0
KGL-00037,-1.941232286860368,30.079042013513373,11.068251609802246,1
KGL-00038,-1.9404156050066905,30.060323083151626,10.096575736999512,0
KGL-00039,-1.9550360888764082,30.048974688833816,5.919043064117432,1
KGL-00040,-1.941206853062408,30.06908963524805,12.676047325134277,0
KGL-00041,-1.92833332401923,30.069196938803195,15.386483192443848,1
KGL-00042,-1.9469106976134034,30.076144673193973,10.99917984008789,0
KGL-00043,-1.94635341250886,30.07035877396966,8.491175651550293,0
KGL-00044,-1.9288963378744204,30.053500974281885,11.572617530822754,1
KGL-00045,-1.9601275406410659,30.05774816756837,9.198532104492188,1
KGL-00046,-1.9521313819605897,30.049525414425936,11.884970664978027,1
KGL-00047,-1.9429159959529996,30.070276763203474,11.922822952270508,0
KGL-00048,-1.9305999792402577,30.05441484999668,10.992984771728516,1
KGL-00049,-1.9531698958163248,30.055650508004828,12.901606559753418,1
KGL-00050,-1.9551752396725794,30.051495162757384,15.816983222961426,1
KGL-00051,-1.9448971197760716,30.068882170388562,7.823306083679199,0
KGL-00052,-1.9301741972997697,30.056232220912918,11.884947776794434,0
KGL-00053,-1.9358514433362373,30.066709890713348,10.69207763671875,1
KGL-00054,-1.9302681408125997,30.06675288669616,7.208093643188477,0
KGL-00055,-1.9501681749797868,30.046937351838615,15.393095970153809,1
KGL-00056,-1.953455434495772,30.051925622108154,14.224642753601074,1
KGL-00057,-1.928478814219121,30.06041469890314,4.142513275146484,0
KGL-00058,-1.928702104856666,30.058830939399737,12.019904136657715,1
KGL-00059,-1.939405574903233,30.078952220257555,5.623665809631348,2
KGL-00060,-1.9392949854241253,30.063461181417193,11.715766906738281,0
KGL-00061,-1.926946573468857,30.062818371392357,9.46615219116211,1
KGL-00062,-1.9365762409044134,30.069759402068282,9.374245643615723,0
KGL-00063,-1.9485735105630582,30.05845746368646,4.984569072723389,0
KGL-00064,-1.9512582287885274,30.055627304229812,13.055268287658691,1
KGL-00065,-1.9407503239762351,30.06606072019263,9.197012901306152,0
KGL-00066,-1.9368067341944561,30.062512027349293,9.24026870727539,0
KGL-00067,-1.9555506647866934,30.04799537934398,15.388375282287598,0
KGL-00068,-1.9507887316202008,30.048225206341886,7.0315070152282715,1
KGL-00069,-1.9380889111369874,30.069903758477437,12.676041603088379,1
KGL-00070,-1.9495897391534764,30.07052296144325,6.533605098724365,0
