area_m2,perimeter_m,shape_index,area_log,elongation,nearest_nbr_dist,local_density,density_50m,density_100m,density_250m,density_ratio,nn_dist_std_100m,orientation,orientation_entropy,orientation_coherence,lat,lon,confidence,full_plus_code,cluster_id,category,risk_score
67.583854808138,34.05395965066904,0.7323481502637075,4.228057154381008,1.702249462794938,9.904637566674763,3947.042588679004,5092.95817894065,3947.042588679004,1777.442404450287,2.8653295128939824,5.482928875003619,57.30653499059376,3.2281293448015096,0.3870967741935484,-1.957305626801972,30.12815789914642,0.7245000004768372,6GCG24VH+37FJ,0,Informal/High Risk,8
19.439350295055316,17.64052078580992,0.7849984608603872,3.0174619788741213,1.0471430107670638,10.731229932963428,3628.732702495213,3819.718634205488,3628.732702495213,3840.090466921251,0.9946949602122016,6.434373849139741,62.34209745871567,3.810427815748832,0.2982456140350877,-1.9593855699745069,30.13384956965864,0.7245000004768372,6GCG24RM+6GXC,0,Informal/High Risk,8
36.10527272879515,25.569447209707235,0.6939653968837872,3.613759081584955,2.03736721034484,12.952650904733195,3501.408748021697,3819.718634205488,3501.408748021697,2801.126998417358,1.3636363636363635,7.273486817040434,111.64717804576196,3.757432617361915,0.3181818181818182,-1.9565264110857663,30.12653700094522,0.7245000004768372,6GCG24VG+9JMR,0,Informal/High Risk,8
22.75496685391549,20.422194642790988,0.6856164815007096,3.167791639307054,2.108393198108291,7.550454644773383,2673.8030439438417,1909.859317102744,2673.8030439438417,2047.3691879341416,0.9328358208955224,8.271181094754551,160.037665683695,2.6754963174663224,0.4880952380952381,-1.946557048861033,30.129281458522428,0.7245000004768372,6GCG343H+9PFJ,1,Stable/Formal Infrastructure,1
28.567470224538727,21.9557838867196,0.7447041135435777,3.3866747781091866,1.6031149827823872,6.555525501189854,5379.437076506062,6493.521678149329,5379.437076506062,3295.143941774601,1.9706336939721791,5.521562846410955,57.67805247741783,3.612325153857185,0.2544378698224852,-1.9471686106757145,30.12665472493547,0.7870000004768372,6GCG343G+4MJ9,0,Informal/High Risk,8
7.471492792823858,10.955912246920054,0.7822042220541158,2.136706737860053,1.1389466670538426,15.047241314379765,1591.5494309189532,1273.2395447351626,1591.5494309189532,2566.850922186088,0.4960317460317459,11.58430253508716,92.99061294726314,1.988637875054044,0.66,-1.9476099152023492,30.13437564114286,0.7870000004768372,6GCG342M+XQ2J,1,Stable/Formal Infrastructure,1
49.72742568444788,31.261132654419605,0.6394350269706942,3.926466704863209,1.0410545031515237,7.462524485215094,4583.662361046586,6111.549814728781,4583.662361046586,2984.4734928592216,2.04778156996587,4.449007190856477,145.7237646334365,3.3516626504502725,0.3819444444444444,-1.9623687763609885,30.132864096508488,0.7870000004768372,6GCG24QM+3458,0,Informal/High Risk,8
88.23131922190926,40.74060650187451,0.6680018369827175,4.491232090313689,2.262532508537433,9.866337188168108,5188.451144795788,8658.028904199105,5188.451144795788,2047.3691879341416,4.2288557213930345,4.407646719056733,36.9350408913738,3.461811029949398,0.3680981595092024,-1.9574501881990212,30.127631015340977,0.7870000004768372,6GCG24VH+236R,0,Informal/High Risk,8
138.75688414796446,48.72756724514047,0.7343700287146068,4.939904371272503,1.1928113500758482,12.408521318150322,3469.577759403318,3692.394679731972,3469.577759403318,3198.377736374729,1.1544585987261144,6.936372949127868,4.707247075872743,3.885668033061676,0.2568807339449541,-1.959235612860548,30.140336018961683,0.8495000004768372,6GCG24RR+844H,0,Informal/High Risk,8
46.18988115539221,28.538761048237244,0.712666719715904,3.854179487307327,1.875320870217538,7.732106776659099,5443.099053742821,6620.845632622845,5443.099053742821,3768.7890524160816,1.7567567567567566,5.211734915759285,9.405611857417409,3.1039149994582256,0.4035087719298245,-1.960744615245041,30.134121879413428,0.8495000004768372,6GCG24QM+PJ59,0,Informal/High Risk,8
160.6016776645854,53.24647981766545,0.7118330348180067,5.085134527620888,1.152553781632799,11.883344789984552,3819.718634205488,4965.634224467134,3819.718634205488,1645.0254917978302,3.0185758513931886,5.755388355129684,47.17949941889932,3.3039068402971714,0.45,-1.9590838415186504,30.125748237589256,0.9120000004768372,6GCG24RG+979Q,0,Informal/High Risk,8
247.07127998096212,62.88192067938248,0.7852004364487286,5.513716124146048,1.0323037996118054,14.313531513982758,3469.577759403318,3565.0707252584552,3469.577759403318,2062.648062470964,1.7283950617283947,6.416723391018874,38.21475079347962,2.765944810646505,0.5688073394495413,-1.9636841356285517,30.14132818681112,0.9120000004768372,6GCG24PR+GGGP,2,Planned Residential,4
165.64501915617996,51.73429790397987,0.7777340734531466,5.115865916255366,1.2198266541732774,11.723361656741128,4710.986315520102,4583.662361046586,4710.986315520102,2108.4846860814296,2.1739130434782608,5.43501186813255,48.52850472738007,3.71272608077068,0.3445945945945945,-1.9583581899265243,30.12568830045193,0.9120000004768372,6GCG24RG+M74J,0,Informal/High Risk,8
305.9689934546274,70.79462995237365,0.7671612353111398,5.726746743967374,1.0522305896250563,12.942722665915952,1114.0846016432672,1782.5353626292276,1114.0846016432672,1359.8198337771537,1.3108614232209737,11.472362531957089,149.1601388543689,2.419718094401116,0.5142857142857142,-1.9562004164323863,30.14284885622756,0.9120000004768372,6GCG24VV+G49R,2,Planned Residential,4
348.4765702513564,147.72962463068552,0.2006542020721415,5.856436521519303,13.576314490420296,17.447177141746625,445.6338406573069,509.29581789406507,445.6338406573069,921.8254303882578,0.5524861878453038,21.953100311445017,37.65021257067289,2.549523459597832,0.5,-1.946727662022149,30.14367688263488,0.7300999760627747,6GCG343V+8F3W,2,Planned Residential,4
7.488598043066314,10.992099773575312,0.7788414570724809,2.138723856306852,1.1989603963889466,7.690522261619784,1687.0423967740903,1655.2114081557113,1687.0423967740903,2398.7833022810464,0.6900212314225053,9.670031632674904,89.91161290726032,1.9320842360274169,0.6226415094339622,-1.9469343582889056,30.13501041795008,0.7300999760627747,6GCG343P+62CM,1,Stable/Formal Infrastructure,1
106.87417260973176,48.59998083697248,0.568604684764379,4.680965479475979,1.0189935870896936,10.698084883267091,3405.91578216656,3310.4228163114226,3405.91578216656,1940.417066176388,1.706036745406824,6.894899567769943,55.110533224644925,3.8299241111540416,0.2523364485981308,-1.9599330597130349,30.14227410146839,0.7925999760627747,6GCG24RR+2WCQ,0,Informal/High Risk,8
16.724456693976595,16.443174249411385,0.7773033943422768,2.874945419986582,1.225833420576448,4.636764817373416,4710.986315520102,5347.606087887683,4710.986315520102,2663.6171275859606,2.0076481835564053,5.854010619750993,66.88934777018171,3.9245174738918993,0.2432432432432432,-1.957561515057161,30.12697688196053,0.7925999760627747,6GCG24RG+XQHF,0,Informal/High Risk,8
64.60780512312094,33.90575818181255,0.706232876226229,4.183694669407801,1.9308411655041453,10.628429660785187,2482.817112233567,2673.8030439438417,2482.817112233567,2006.6255225026164,1.33248730964467,6.570889751514086,76.01449264454844,2.9595013347503296,0.5128205128205128,-1.9501086623810555,30.12830544729695,0.7925999760627747,6GCG24XH+X83Q,1,Stable/Formal Infrastructure,1
27.073218467137355,22.005317570599367,0.7025778776582097,3.33481604240938,1.9629483074680667,4.835010661116292,2291.831180523293,2164.5072260497764,2291.831180523293,1420.9353319244417,1.523297491039426,6.507558012068502,106.61872978673668,2.7589908587220435,0.4861111111111111,-1.9530878339220628,30.12513452662965,0.7925999760627747,6GCG24WG+Q36F,1,Stable/Formal Infrastructure,1
97.68048047057228,39.67138634395768,0.7799430567960254,4.591887160625512,1.1815604406712217,8.196292439126934,4806.479281375239,5092.95817894065,4806.479281375239,3565.070725258456,1.4285714285714284,5.431081502966735,33.100147855793544,3.6811547795241744,0.2781456953642384,-1.9614174210163748,30.133502067764372,0.8550999760627747,6GCG24QM+CCJ6,0,Informal/High Risk,8
156.91854023538582,53.4243895113607,0.6908837646726123,5.06207933194555,1.414363757485363,11.45888831349792,2069.014260194639,2164.5072260497764,2069.014260194639,1436.2142064612635,1.5070921985815602,8.235325061240555,69.65135888769436,3.356854259702588,0.2923076923076923,-1.9650479098931315,30.14334622279668,0.8550999760627747,6GCG24MV+X8Q2,2,Planned Residential,4
